[2024-11-24 23:42:19.841] Config:226	- Checking for app specific config file...
[2024-11-24 23:42:19.841] wini_parse:167	- No config file found at /home/atlan/.local/share/Steam/steamapps/common/Resonite/opencomposite.ini
[2024-11-24 23:42:19.841] CheckAppEnabled:59	- [once] Launcher configuration not yet supported on Linux
[2024-11-24 23:42:19.841] VR_InitInternal2:223	- [once] Initializing OpenComposite - revision (unknown-revision)
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_binding_modification
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_composition_layer_cylinder
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_composition_layer_depth
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_composition_layer_equirect2
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_convert_timespec_time
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_locate_spaces
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_maintenance1
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_opengl_enable
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_opengl_es_enable
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_swapchain_usage_input_attachment_bit
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_visibility_mask
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_vulkan_enable
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_vulkan_enable2
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_KHR_vulkan_swapchain_format_list
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_EXT_dpad_binding
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_EXT_eye_gaze_interaction
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_EXT_hand_interaction
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_EXT_hand_tracking
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_EXT_hp_mixed_reality_controller
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_EXT_local_floor
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_EXT_samsung_odyssey_controller
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_BD_controller_interaction
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_FB_display_refresh_rate
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_FB_touch_controller_pro
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_FB_touch_controller_proximity
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_META_touch_controller_plus
[2024-11-24 23:42:20.054] CreateOpenXRBackend:149	- Extension: XR_ML_ml2_controller_interaction
